date,code,open,high,low,close,volume,money,open_interest
2023-05-22 15:00:00,IM2306.CCFX,6553.0,6579.8,6553.0,6578.2,7539.0,9908840920.0,89487.0
2023-05-23 10:30:00,IM2306.CCFX,6580.0,6580.8,6540.0,6558.6,10908.0,14314355040.0,85376.0
2023-05-23 11:30:00,IM2306.CCFX,6559.0,6593.4,6542.8,6576.4,8811.0,11579492160.0,86249.0
2023-05-23 14:00:00,IM2306.CCFX,6578.6,6578.6,6543.2,6556.2,6251.0,8197975320.0,88104.0
2023-05-23 15:00:00,IM2306.CCFX,6556.4,6560.6,6511.2,6513.0,9078.0,11856770880.0,91475.0
2023-05-24 10:30:00,IM2306.CCFX,6503.0,6503.0,6467.0,6485.2,12281.0,15923260320.0,87018.0
2023-05-24 11:30:00,IM2306.CCFX,6484.8,6554.0,6478.0,6539.2,11549.0,15066303560.0,85902.0
2023-05-24 14:00:00,IM2306.CCFX,6540.0,6556.8,6518.4,6530.2,7131.0,9322344240.0,87199.0
2023-05-24 15:00:00,IM2306.CCFX,6531.0,6539.8,6493.4,6497.0,8200.0,10686115480.0,90114.0
2023-05-25 10:30:00,IM2306.CCFX,6495.0,6539.8,6492.2,6504.2,11094.0,14465974480.0,86058.0
2023-05-25 11:30:00,IM2306.CCFX,6504.8,6504.8,6418.0,6448.0,15237.0,19673472800.0,87561.0
2023-05-25 14:00:00,IM2306.CCFX,6447.2,6477.0,6412.4,6415.4,7067.0,9103004640.0,89679.0
2023-05-25 15:00:00,IM2306.CCFX,6415.2,6486.6,6403.4,6476.8,10387.0,13403077200.0,93782.0
2023-05-26 10:30:00,IM2306.CCFX,6470.0,6495.8,6431.0,6459.0,13469.0,17405351600.0,87687.0
2023-05-26 11:30:00,IM2306.CCFX,6459.6,6498.0,6447.0,6492.4,6608.0,8542984920.0,86734.0
2023-05-26 14:00:00,IM2306.CCFX,6493.8,6548.6,6493.8,6525.6,11473.0,14969453560.0,86911.0
2023-05-26 15:00:00,IM2306.CCFX,6525.8,6552.8,6514.6,6535.8,8206.0,10727476040.0,87620.0
2023-05-29 10:30:00,IM2306.CCFX,6553.0,6578.0,6541.0,6554.6,10674.0,13999436480.0,83808.0
2023-05-29 11:30:00,IM2306.CCFX,6554.2,6560.8,6512.0,6531.6,7531.0,9838078240.0,83349.0
2023-05-29 14:00:00,IM2306.CCFX,6532.8,6546.6,6494.6,6508.2,7233.0,9424950400.0,84972.0
2023-05-29 15:00:00,IM2306.CCFX,6510.0,6529.0,6509.4,6525.4,6145.0,8013556760.0,86931.0
2023-05-30 10:30:00,IM2306.CCFX,6520.0,6520.0,6480.2,6501.4,9143.0,11890208360.0,83168.0
2023-05-30 11:30:00,IM2306.CCFX,6501.8,6519.8,6466.4,6475.4,7627.0,9905512040.0,82233.0
2023-05-30 14:00:00,IM2306.CCFX,6473.4,6508.8,6454.2,6500.8,9982.0,12935732280.0,83451.0
2023-05-30 15:00:00,IM2306.CCFX,6501.0,6567.6,6500.8,6558.0,13567.0,17760593960.0,88984.0
2023-05-31 10:30:00,IM2306.CCFX,6550.0,6573.6,6532.2,6546.6,10585.0,13867484920.0,83736.0
2023-05-31 11:30:00,IM2306.CCFX,6546.0,6552.2,6523.2,6530.2,6072.0,7940272040.0,82434.0
2023-05-31 14:00:00,IM2306.CCFX,6528.0,6556.4,6505.0,6550.4,9451.0,12332636080.0,82702.0
2023-05-31 15:00:00,IM2306.CCFX,6553.0,6562.6,6521.2,6547.0,8677.0,11360690960.0,85351.0
2023-06-01 10:30:00,IM2306.CCFX,6530.0,6592.6,6510.4,6582.6,14668.0,19235154120.0,81460.0
2023-06-01 11:30:00,IM2306.CCFX,6583.4,6596.0,6573.6,6591.8,6060.0,7984061040.0,81663.0
2023-06-01 14:00:00,IM2306.CCFX,6592.0,6609.2,6581.2,6591.4,5994.0,7907048360.0,83032.0
2023-06-01 15:00:00,IM2306.CCFX,6591.4,6591.4,6550.6,6567.6,8771.0,11519418720.0,86225.0
2023-06-02 10:30:00,IM2306.CCFX,6588.8,6622.2,6580.8,6613.6,11660.0,15397415560.0,80886.0
2023-06-02 11:30:00,IM2306.CCFX,6613.2,6634.8,6603.0,6630.4,6383.0,8451003760.0,80007.0
2023-06-02 14:00:00,IM2306.CCFX,6629.6,6635.0,6607.0,6620.6,6040.0,7994898000.0,80224.0
2023-06-02 15:00:00,IM2306.CCFX,6621.6,6625.8,6609.4,6612.4,7400.0,9793108000.0,81837.0
2023-06-05 10:30:00,IM2306.CCFX,6620.4,6631.8,6601.0,6628.4,9193.0,12163260000.0,77855.0
2023-06-05 11:30:00,IM2306.CCFX,6628.6,6628.8,6598.8,6609.8,5245.0,6936506760.0,77447.0
